Listing_URL,Address,Price,Bedroom,Bathroom,Sqft,Query_Zip_Code,Query_Miles,Longitude,Latitude,Query_Date
https://sfbay.craigslist.org/eby/apa/d/oakland-explore-lampwork-lofts-open/7696114102.html,"1614 Campbell Street, Oakland, CA, USA, West Oakland, CA 94607",2101,0,1,625,94607,1.0,-122.2851,37.8071,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-modern-style-of-living/7695803567.html,"1919 Market Street, Oakland, CA 94607",2293,2,2,891,94607,1.0,-122.279828,37.812001,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-months-cash-credit-on-water/7698157376.html,"40 HARRISON, OAKLAND, CA 94607",2072,0,1,521,94607,1.0,-122.2851,37.8071,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-month-cash-discount-on/7697782664.html,"40 HARRISON ST, OAKLAND, CA 94607",2089,1,1,554,94607,1.0,-122.2851,37.8071,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-an-invitation-to-explore-open/7691862595.html,"1614 Campbell Street, Oakland, CA, USA, West Oakland, CA 94607",2276,1,1,960,94607,1.0,-122.2851,37.8071,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-spacious-modern-living/7698201190.html,"1919 Market Street, Oakland, CA 94607",2667,3,2,1042,94607,1.0,-122.279806,37.812069,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-one-month-free-bed-1ba-in-cozy/7687794996.html,Unknown,2246,2,1,1000,94607,1.0,-122.288494,37.807585,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-spacious-modern-living/7697900274.html,"1919 Market Street, Oakland, CA 94607",2667,3,2,1042,94607,1.0,-122.280088,37.811935,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-family-all-together/7698135324.html,"1919 Market Street, Oakland, CA 94607",2480,4,2,840,94607,1.0,-122.278926,37.811679,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-modern-style-of-living/7695522937.html,"1919 Market Street, Oakland, CA 94607",2293,2,2,891,94607,1.0,-122.280088,37.811935,2023-16-12
